Minisite_PRD_AWS_RESOURCE_GROUP MINISITES
Minisite_NON_PRD_AWS_RESOURCE_GROUP MINISITES-NONPROD
RHEL9_Minisite_PRD_AWS_RESOURCE_GROUP RHEL9-prod
RHEL9_Minisite_NonPROD_AWS_RESOURCE_GROUP RHEL9-nonprod
APAC_ONE_PRD_AWS_RESOURCE_GROUP APAC-ONE-PRD
APAC_ONE_OAT_AWS_RESOURCE_GROUP APAC-ONE-OAT
APAC_ONE_UAT1_AWS_RESOURCE_GROUP APAC-ONE-UAT1
AMER_ONE_PRD_AWS_RESOURCE_GROUP ONE-AMER-PRD
AMER_ONE_OAT_AWS_RESOURCE_GROUP ONE-AMER-OAT
AMER_ONE_UAT1_AWS_RESOURCE_GROUP AMER_ONE_UAT1
AMER_ONE_UAT2_AWS_RESOURCE_GROUP AMER_ONE_UAT2
AMER_ONE_UAT3_AWS_RESOURCE_GROUP AMER_ONE_UAT3
WFJ_ESERVICES_PRD_AWS_RESOURCE_GROUP WFJ_ESERVICES_PRD
WFJ_ESERVICES_OAT_AWS_RESOURCE_GROUP WFJ_ESERVICES_OAT
WFJ_ESERVICES_INT1_AWS_RESOURCE_GROUP WFJ_ESERVICES_INT1
WFJ_ESERVICES_INT2_AWS_RESOURCE_GROUP WFJ_ESERVICES_INT2
FASHION_PRD_AWS_RESOURCE_GROUP FASHION-PRD
FASHION_NONPROD_AWS_RESOURCE_GROUP FASHION-NONPROD
EMEA_VP_PRD_AWS_RESOURCE_GROUP EMEA_VP_PROD
VP_OAT_AWS_RESOURCE_GROUP VP_OAT
VP_UAT1_AWS_RESOURCE_GROUP VP_UAT1
VP_UAT2_AWS_RESOURCE_GROUP VP-UAT2
VP_INT1_AWS_RESOURCE_GROUP VP_INT1
ONE_NONPROD_AWS_RESOURCE_GROUP ONE-nonprod
EMEA_ONE_PRD_AWS_RESOURCE_GROUP EMEA-ONE-PRD
EMEA_ONE_OAT_AWS_RESOURCE_GROUP EMEA-ONE-OAT
EMEA_ONE_UAT1_AWS_RESOURCE_GROUP EMEA_ONE_UAT1
EMEA_ONE_UAT2_AWS_RESOURCE_GROUP EMEA_ONE_UAT2
EMEA_ONE_QAT1_AWS_RESOURCE_GROUP EMEA_ONE_QAT1
EMEA_ONE_QAT2_AWS_RESOURCE_GROUP EMEA_ONE_QAT2
EMEA_ONE_QAT3_AWS_RESOURCE_GROUP EMEA_ONE_QAT3
EMEA_ONE_INT1_AWS_RESOURCE_GROUP EMEA_ONE_INT1
EMEA_ONE_INT2_AWS_RESOURCE_GROUP EMEA_ONE_INT2
EMEA_ONE_INT3_AWS_RESOURCE_GROUP EMEA_ONE_INT3
EMEA_ONE_INT4_AWS_RESOURCE_GROUP EMEA_ONE_INT4
EMEA_ONE_INT5_AWS_RESOURCE_GROUP EMEA_ONE_INT5
EMEA_ONE_INT6_AWS_RESOURCE_GROUP EMEA_ONE_INT6
EMEA_ONE_INT7_AWS_RESOURCE_GROUP EMEA_ONE_INT7
EMEA_ONE_INT8_AWS_RESOURCE_GROUP EMEA_ONE_INT8
EMEA_ONE_BOCC_INT_AWS_RESOURCE_GROUP EMEA_ONE_BOCC_INT
EMEA_ONE_BOCC_UAT_AWS_RESOURCE_GROUP EMEA_ONE_BOCC_UAT
CORPO_PRD_AWS_RESOURCE_GROUP CORPO-PRD
CORPO_OAT_AWS_RESOURCE_GROUP CORPO_OAT
CORPO_UAT_AWS_RESOURCE_GROUP CORPO_UAT
CORPO_INT_AWS_RESOURCE_GROUP CORPO_INT
